iter	Passed	Remaining
0	12	6350
1	24	6156
2	35	5960
3	48	5952
4	59	5874
5	71	5847
6	82	5830
7	95	5849
8	107	5853
9	119	5832
10	130	5800
11	142	5789
12	153	5757
13	164	5726
14	177	5749
15	189	5722
16	200	5707
17	213	5709
18	224	5682
19	235	5656
20	247	5646
21	258	5625
22	270	5607
23	282	5609
24	294	5591
25	306	5584
26	318	5573
27	329	5554
28	341	5548
29	353	5537
30	364	5520
31	376	5512
32	388	5496
33	400	5483
34	411	5469
35	422	5451
36	435	5446
37	447	5436
38	459	5429
39	471	5424
40	483	5410
41	494	5394
42	508	5400
43	520	5390
44	531	5373
45	543	5367
46	555	5355
47	567	5346
48	579	5333
49	591	5321
50	603	5308
51	614	5297
52	626	5283
53	638	5275
54	650	5265
55	662	5251
56	675	5247
57	687	5235
58	699	5225
59	712	5222
60	723	5208
61	735	5198
62	747	5185
63	759	5171
64	771	5161
65	782	5148
66	794	5132
67	806	5122
68	817	5109
69	829	5097
70	841	5081
71	853	5073
72	865	5060
73	876	5046
74	887	5030
75	899	5019
76	910	5004
77	922	4993
78	934	4982
79	946	4967
80	957	4951
81	969	4940
82	980	4927
83	993	4918
84	1006	4914
85	1019	4907
86	1033	4908
87	1046	4901
88	1059	4892
89	1071	4879
90	1084	4872
91	1097	4865
92	1110	4858
93	1122	4848
94	1135	4841
95	1148	4831
96	1160	4821
97	1171	4807
98	1183	4793
99	1195	4781
100	1206	4766
101	1217	4749
102	1229	4739
103	1240	4724
104	1252	4712
105	1265	4702
106	1276	4688
107	1287	4674
108	1299	4661
109	1311	4648
110	1322	4634
111	1333	4619
112	1344	4605
113	1356	4593
114	1368	4581
115	1379	4566
116	1391	4553
117	1403	4542
118	1414	4529
119	1426	4517
120	1438	4504
121	1450	4492
122	1462	4481
123	1472	4466
124	1483	4450
125	1495	4438
126	1507	4426
127	1518	4412
128	1531	4403
129	1542	4389
130	1554	4379
131	1566	4366
132	1577	4351
133	1588	4338
134	1599	4325
135	1610	4310
136	1622	4298
137	1633	4285
138	1644	4271
139	1656	4258
140	1667	4246
141	1679	4234
142	1692	4224
143	1703	4211
144	1714	4196
145	1726	4186
146	1738	4175
147	1750	4162
148	1761	4149
149	1773	4137
150	1784	4125
151	1795	4111
152	1807	4099
153	1818	4086
154	1830	4073
155	1840	4057
156	1851	4044
157	1862	4031
158	1873	4018
159	1885	4005
160	1895	3991
161	1907	3978
162	1918	3967
163	1929	3953
164	1939	3938
165	1951	3925
166	1962	3912
167	1972	3897
168	1984	3885
169	1994	3871
170	2005	3858
171	2017	3846
172	2027	3832
173	2037	3818
174	2048	3804
175	2059	3790
176	2070	3778
177	2082	3766
178	2094	3755
179	2104	3741
180	2116	3729
181	2127	3716
182	2137	3703
183	2148	3690
184	2159	3677
185	2171	3665
186	2183	3654
187	2194	3642
188	2205	3628
189	2218	3618
190	2229	3606
191	2240	3594
192	2252	3583
193	2264	3571
194	2276	3559
195	2288	3549
196	2300	3537
197	2312	3526
198	2322	3513
199	2333	3500
200	2345	3488
201	2356	3475
202	2366	3462
203	2378	3450
204	2389	3439
205	2401	3427
206	2412	3415
207	2423	3402
208	2433	3388
209	2445	3377
210	2456	3364
211	2467	3351
212	2478	3339
213	2489	3326
214	2499	3313
215	2511	3302
216	2522	3289
217	2532	3276
218	2544	3264
219	2554	3251
220	2565	3238
221	2577	3227
222	2588	3215
223	2598	3201
224	2609	3189
225	2620	3177
226	2631	3164
227	2642	3152
228	2655	3142
229	2666	3130
230	2678	3119
231	2690	3107
232	2701	3095
233	2713	3084
234	2724	3072
235	2736	3061
236	2747	3049
237	2758	3036
238	2769	3024
239	2781	3013
240	2792	3001
241	2804	2990
242	2815	2977
243	2826	2965
244	2837	2953
245	2848	2940
246	2858	2927
247	2869	2915
248	2880	2903
249	2890	2890
250	2901	2878
251	2913	2866
252	2922	2853
253	2933	2841
254	2945	2829
255	2956	2817
256	2968	2806
257	2980	2795
258	2992	2784
259	3003	2772
260	3014	2760
261	3025	2748
262	3036	2736
263	3047	2724
264	3059	2713
265	3072	2703
266	3084	2691
267	3095	2679
268	3107	2668
269	3118	2656
270	3130	2645
271	3141	2633
272	3152	2621
273	3163	2609
274	3174	2597
275	3186	2585
276	3197	2573
277	3208	2561
278	3219	2549
279	3230	2537
280	3240	2525
281	3252	2514
282	3263	2502
283	3273	2489
284	3283	2477
285	3294	2465
286	3306	2453
287	3317	2441
288	3328	2430
289	3340	2419
290	3352	2407
291	3363	2395
292	3374	2384
293	3385	2372
294	3396	2360
295	3408	2349
296	3419	2337
297	3430	2325
298	3443	2314
299	3453	2302
300	3466	2292
301	3478	2280
302	3488	2268
303	3500	2256
304	3510	2244
305	3521	2232
306	3533	2221
307	3544	2209
308	3555	2197
309	3566	2186
310	3578	2174
311	3588	2162
312	3600	2150
313	3610	2138
314	3621	2127
315	3634	2116
316	3645	2104
317	3655	2092
318	3667	2081
319	3678	2069
320	3690	2057
321	3701	2046
322	3713	2035
323	3724	2023
324	3736	2011
325	3748	2000
326	3762	1990
327	3773	1978
328	3783	1966
329	3795	1955
330	3808	1944
331	3818	1932
332	3830	1921
333	3841	1909
334	3851	1897
335	3863	1885
336	3876	1874
337	3888	1863
338	3900	1852
339	3910	1840
340	3922	1828
341	3934	1817
342	3945	1805
343	3958	1795
344	3969	1783
345	3980	1771
346	3993	1760
347	4004	1748
348	4014	1737
349	4027	1726
350	4038	1714
351	4051	1703
352	4062	1691
353	4075	1680
354	4086	1669
355	4098	1657
356	4110	1646
357	4121	1634
358	4132	1622
359	4143	1611
360	4155	1600
361	4166	1588
362	4177	1576
363	4189	1565
364	4200	1553
365	4212	1542
366	4224	1531
367	4237	1519
368	4248	1508
369	4262	1497
370	4274	1486
371	4285	1474
372	4297	1463
373	4308	1451
374	4319	1439
375	4330	1428
376	4341	1416
377	4352	1404
378	4364	1393
379	4374	1381
380	4386	1370
381	4397	1358
382	4409	1346
383	4421	1335
384	4433	1324
385	4443	1312
386	4457	1301
387	4469	1290
388	4481	1278
389	4492	1267
390	4504	1255
391	4516	1244
392	4529	1233
393	4541	1221
394	4554	1210
395	4566	1199
396	4578	1187
397	4590	1176
398	4602	1164
399	4614	1153
400	4626	1142
401	4637	1130
402	4649	1119
403	4661	1107
404	4672	1096
405	4685	1084
406	4696	1073
407	4707	1061
408	4720	1050
409	4732	1038
410	4746	1027
411	4757	1016
412	4768	1004
413	4780	993
414	4793	981
415	4803	970
416	4816	958
417	4827	947
418	4838	935
419	4851	924
420	4863	912
421	4874	901
422	4887	889
423	4898	878
424	4910	866
425	4921	854
426	4931	843
427	4944	831
428	4955	820
429	4967	808
430	4978	797
431	4989	785
432	5000	773
433	5011	762
434	5022	750
435	5033	738
436	5045	727
437	5057	715
438	5070	704
439	5082	693
440	5093	681
441	5104	669
442	5116	658
443	5127	646
444	5140	635
445	5151	623
446	5163	612
447	5175	600
448	5186	589
449	5198	577
450	5209	566
451	5220	554
452	5231	542
453	5243	531
454	5254	519
455	5265	508
456	5277	496
457	5287	484
458	5298	473
459	5309	461
460	5319	450
461	5330	438
462	5343	426
463	5353	415
464	5364	403
465	5375	392
466	5386	380
467	5398	369
468	5409	357
469	5420	345
470	5431	334
471	5441	322
472	5453	311
473	5464	299
474	5476	288
475	5486	276
476	5498	265
477	5510	253
478	5521	242
479	5532	230
480	5543	218
481	5556	207
482	5569	196
483	5583	184
484	5595	173
485	5608	161
486	5619	150
487	5632	138
488	5644	126
489	5656	115
490	5668	103
491	5679	92
492	5690	80
493	5701	69
494	5712	57
495	5723	46
496	5735	34
497	5747	23
498	5758	11
499	5769	0
